Accession	GenBank_RefSeq	Organism_Name	Species	Genotype	Isolate	GenBank_Title	Length	Nuc_Completeness	Geo_Location	Country	Host	Tissue_Specimen_Source	Submitters	Publications	Collection_Date	Release_Date	Molecule_type
PX461760	GenBank	Human papillomavirus 16	Alphapapillomavirus 9		InDRE 35Tam/Mexico/2022	Human papillomavirus 16 isolate InDRE 35Tam/Mexico/2022, complete genome	7906	complete	Mexico	Mexico	Homo sapiens	cervix	Rodriguez-Hernandez,E.L., Fragoso-Fonseca,D.E., Esteban-Valencia,Md.C., Andrade-Montiel,E., Wong-Arambula,C.E., Hernandez-Rivas,L., Escobar-Escamilla,N., Rodriguez-Maldonado,A.P., Del Mazo-Lopez,J.C., Serrano-Gutierrez,S., Landa-Flores,M.G.		2022	2025-10-22	dsDNA
LC888263	GenBank	Human papillomavirus 16	Alphapapillomavirus 9		SW0153	Human papillomavirus 16 SW0153 DNA, complete genome	7906	complete	Japan	Japan	Homo sapiens		Kukimoto,I., Matsumoto,K.		2022	2025-09-02	dsDNA
LC888264	GenBank	Human papillomavirus 16	Alphapapillomavirus 9		SW0160	Human papillomavirus 16 SW0160 DNA, complete genome	7902	complete	Japan	Japan	Homo sapiens		Kukimoto,I., Matsumoto,K.		2022	2025-09-02	dsDNA
LC888265	GenBank	Human papillomavirus 16	Alphapapillomavirus 9		SW0161	Human papillomavirus 16 SW0161 DNA, complete genome	7906	complete	Japan	Japan	Homo sapiens		Kukimoto,I., Matsumoto,K.		2022	2025-09-02	dsDNA
LC888266	GenBank	Human papillomavirus 16	Alphapapillomavirus 9		SW0162	Human papillomavirus 16 SW0162 DNA, complete genome	7906	complete	Japan	Japan	Homo sapiens		Kukimoto,I., Matsumoto,K.		2022	2025-09-02	dsDNA
LC888267	GenBank	Human papillomavirus 16	Alphapapillomavirus 9		SW0164	Human papillomavirus 16 SW0164 DNA, complete genome	7906	complete	Japan	Japan	Homo sapiens		Kukimoto,I., Matsumoto,K.		2022	2025-09-02	dsDNA
LC888268	GenBank	Human papillomavirus 16	Alphapapillomavirus 9		SW0178	Human papillomavirus 16 SW0178 DNA, complete genome	7906	complete	Japan	Japan	Homo sapiens		Kukimoto,I., Matsumoto,K.		2023	2025-09-02	dsDNA
LC888269	GenBank	Human papillomavirus 16	Alphapapillomavirus 9		SW0192	Human papillomavirus 16 SW0192 DNA, complete genome	7905	complete	Japan	Japan	Homo sapiens		Kukimoto,I., Matsumoto,K.		2023	2025-09-02	dsDNA
LC888270	GenBank	Human papillomavirus 16	Alphapapillomavirus 9		SW0193	Human papillomavirus 16 SW0193 DNA, complete genome	7905	complete	Japan	Japan	Homo sapiens		Kukimoto,I., Matsumoto,K.		2023	2025-09-02	dsDNA
LC888271	GenBank	Human papillomavirus 16	Alphapapillomavirus 9		SW0199	Human papillomavirus 16 SW0199 DNA, complete genome	7905	complete	Japan	Japan	Homo sapiens		Kukimoto,I., Matsumoto,K.		2024	2025-09-02	dsDNA
LC888272	GenBank	Human papillomavirus 16	Alphapapillomavirus 9		SW0201	Human papillomavirus 16 SW0201 DNA, complete genome	7906	complete	Japan	Japan	Homo sapiens		Kukimoto,I., Matsumoto,K.		2024	2025-09-02	dsDNA
PV809647	GenBank	Human papillomavirus 16	Alphapapillomavirus 9	16	OM1957	Human papillomavirus 16 isolate OM1957, complete genome	7905	complete	Latvia	Latvia	Homo sapiens		Zrelovs,N., Jansons,J., Spridzane,A., Sokolovska,L., Biserova,K., Krisane,D., Orlova,B., Petrovska,M., Nazarenko,M., Ilinskaya,A., Nazarovs,J., Mitildzans,A., Isaguliants,M.		2012	2025-06-30	dsDNA
PV809648	GenBank	Human papillomavirus 16	Alphapapillomavirus 9	16	KV1957	Human papillomavirus 16 isolate KV1957, complete genome	7907	complete	Latvia	Latvia	Homo sapiens		Zrelovs,N., Jansons,J., Spridzane,A., Sokolovska,L., Biserova,K., Krisane,D., Orlova,B., Petrovska,M., Nazarenko,M., Ilinskaya,A., Nazarovs,J., Mitildzans,A., Isaguliants,M.		2013	2025-06-30	dsDNA
PV809649	GenBank	Human papillomavirus 16	Alphapapillomavirus 9	16	VV1971	Human papillomavirus 16 isolate VV1971, complete genome	7881	complete	Latvia	Latvia	Homo sapiens		Zrelovs,N., Jansons,J., Spridzane,A., Sokolovska,L., Biserova,K., Krisane,D., Orlova,B., Petrovska,M., Nazarenko,M., Ilinskaya,A., Nazarovs,J., Mitildzans,A., Isaguliants,M.		2016	2025-06-30	dsDNA
PV809650	GenBank	Human papillomavirus 16	Alphapapillomavirus 9	16	KE1980	Human papillomavirus 16 isolate KE1980, complete genome	7905	complete	Latvia	Latvia	Homo sapiens		Zrelovs,N., Jansons,J., Spridzane,A., Sokolovska,L., Biserova,K., Krisane,D., Orlova,B., Petrovska,M., Nazarenko,M., Ilinskaya,A., Nazarovs,J., Mitildzans,A., Isaguliants,M.		2014	2025-06-30	dsDNA
PV809651	GenBank	Human papillomavirus 16	Alphapapillomavirus 9	16	JO1976	Human papillomavirus 16 isolate JO1976, complete genome	7906	complete	Latvia	Latvia	Homo sapiens		Zrelovs,N., Jansons,J., Spridzane,A., Sokolovska,L., Biserova,K., Krisane,D., Orlova,B., Petrovska,M., Nazarenko,M., Ilinskaya,A., Nazarovs,J., Mitildzans,A., Isaguliants,M.		2020	2025-06-30	dsDNA
PV809652	GenBank	Human papillomavirus 16	Alphapapillomavirus 9	16	II1977	Human papillomavirus 16 isolate II1977, complete genome	7909	complete	Latvia	Latvia	Homo sapiens		Zrelovs,N., Jansons,J., Spridzane,A., Sokolovska,L., Biserova,K., Krisane,D., Orlova,B., Petrovska,M., Nazarenko,M., Ilinskaya,A., Nazarovs,J., Mitildzans,A., Isaguliants,M.		2023	2025-06-30	dsDNA
PV809654	GenBank	Human papillomavirus 16	Alphapapillomavirus 9	16	VS1969	Human papillomavirus 16 isolate VS1969, complete genome	7906	complete	Latvia	Latvia	Homo sapiens		Zrelovs,N., Jansons,J., Spridzane,A., Sokolovska,L., Biserova,K., Krisane,D., Orlova,B., Petrovska,M., Nazarenko,M., Ilinskaya,A., Nazarovs,J., Mitildzans,A., Isaguliants,M.		2021	2025-06-30	dsDNA
PV809655	GenBank	Human papillomavirus 16	Alphapapillomavirus 9	16	ID1967	Human papillomavirus 16 isolate ID1967, complete genome	7906	complete	Latvia	Latvia	Homo sapiens		Zrelovs,N., Jansons,J., Spridzane,A., Sokolovska,L., Biserova,K., Krisane,D., Orlova,B., Petrovska,M., Nazarenko,M., Ilinskaya,A., Nazarovs,J., Mitildzans,A., Isaguliants,M.		2023	2025-06-30	dsDNA
PV809656	GenBank	Human papillomavirus 16	Alphapapillomavirus 9	16	BK1957	Human papillomavirus 16 isolate BK1957, complete genome	7908	complete	Latvia	Latvia	Homo sapiens		Zrelovs,N., Jansons,J., Spridzane,A., Sokolovska,L., Biserova,K., Krisane,D., Orlova,B., Petrovska,M., Nazarenko,M., Ilinskaya,A., Nazarovs,J., Mitildzans,A., Isaguliants,M.		2023	2025-06-30	dsDNA
PV809657	GenBank	Human papillomavirus 16	Alphapapillomavirus 9	16	NR1992	Human papillomavirus 16 isolate NR1992, complete genome	7906	complete	Latvia	Latvia	Homo sapiens		Zrelovs,N., Jansons,J., Spridzane,A., Sokolovska,L., Biserova,K., Krisane,D., Orlova,B., Petrovska,M., Nazarenko,M., Ilinskaya,A., Nazarovs,J., Mitildzans,A., Isaguliants,M.		2021	2025-06-30	dsDNA
PV809658	GenBank	Human papillomavirus 16	Alphapapillomavirus 9	16	KM1991	Human papillomavirus 16 isolate KM1991, complete genome	7905	complete	Latvia	Latvia	Homo sapiens		Zrelovs,N., Jansons,J., Spridzane,A., Sokolovska,L., Biserova,K., Krisane,D., Orlova,B., Petrovska,M., Nazarenko,M., Ilinskaya,A., Nazarovs,J., Mitildzans,A., Isaguliants,M.		2021	2025-06-30	dsDNA
PV809659	GenBank	Human papillomavirus 16	Alphapapillomavirus 9	16	JG1986	Human papillomavirus 16 isolate JG1986, complete genome	7910	complete	Latvia	Latvia	Homo sapiens		Zrelovs,N., Jansons,J., Spridzane,A., Sokolovska,L., Biserova,K., Krisane,D., Orlova,B., Petrovska,M., Nazarenko,M., Ilinskaya,A., Nazarovs,J., Mitildzans,A., Isaguliants,M.		2019	2025-06-30	dsDNA
PV809660	GenBank	Human papillomavirus 16	Alphapapillomavirus 9	16	NS1986	Human papillomavirus 16 isolate NS1986, complete genome	7907	complete	Latvia	Latvia	Homo sapiens		Zrelovs,N., Jansons,J., Spridzane,A., Sokolovska,L., Biserova,K., Krisane,D., Orlova,B., Petrovska,M., Nazarenko,M., Ilinskaya,A., Nazarovs,J., Mitildzans,A., Isaguliants,M.		2023	2025-06-30	dsDNA
PV809661	GenBank	Human papillomavirus 16	Alphapapillomavirus 9	16	JO1980	Human papillomavirus 16 isolate JO1980, complete genome	7893	complete	Latvia	Latvia	Homo sapiens		Zrelovs,N., Jansons,J., Spridzane,A., Sokolovska,L., Biserova,K., Krisane,D., Orlova,B., Petrovska,M., Nazarenko,M., Ilinskaya,A., Nazarovs,J., Mitildzans,A., Isaguliants,M.		2017	2025-06-30	dsDNA
PV809662	GenBank	Human papillomavirus 16	Alphapapillomavirus 9	16	JD1989	Human papillomavirus 16 isolate JD1989, complete genome	7905	complete	Latvia	Latvia	Homo sapiens		Zrelovs,N., Jansons,J., Spridzane,A., Sokolovska,L., Biserova,K., Krisane,D., Orlova,B., Petrovska,M., Nazarenko,M., Ilinskaya,A., Nazarovs,J., Mitildzans,A., Isaguliants,M.		2015	2025-06-30	dsDNA
PV051119	GenBank	Human papillomavirus 16	Alphapapillomavirus 9		#003	Human papillomavirus 16 isolate #003, complete genome	7906	complete	France	France	Homo sapiens	cervix	Malet,I., Draa,I., Leducq,V., Vuong,F., Bonnafous,P., Marcelin,A.G., Calvez,V., Jary,A., Marcelin,A.-G.	1	2021	2025-06-23	dsDNA
PV051120	GenBank	Human papillomavirus 16	Alphapapillomavirus 9		#007	Human papillomavirus 16 isolate #007, complete genome	7906	complete	France	France	Homo sapiens		Malet,I., Draa,I., Leducq,V., Vuong,F., Bonnafous,P., Marcelin,A.G., Calvez,V., Jary,A., Marcelin,A.-G.	1	2023	2025-06-23	dsDNA
PV051121	GenBank	Human papillomavirus 16	Alphapapillomavirus 9		#008	Human papillomavirus 16 isolate #008, complete genome	7906	complete	France	France	Homo sapiens	cervix	Malet,I., Draa,I., Leducq,V., Vuong,F., Bonnafous,P., Marcelin,A.G., Calvez,V., Jary,A., Marcelin,A.-G.	1	2020	2025-06-23	dsDNA
PV051122	GenBank	Human papillomavirus 16	Alphapapillomavirus 9		#010	Human papillomavirus 16 isolate #010, complete genome	7906	complete	France	France	Homo sapiens		Malet,I., Draa,I., Leducq,V., Vuong,F., Bonnafous,P., Marcelin,A.G., Calvez,V., Jary,A., Marcelin,A.-G.	1	2021	2025-06-23	dsDNA
PV051123	GenBank	Human papillomavirus 16	Alphapapillomavirus 9		#011	Human papillomavirus 16 isolate #011, complete genome	7906	complete	France	France	Homo sapiens		Malet,I., Draa,I., Leducq,V., Vuong,F., Bonnafous,P., Marcelin,A.G., Calvez,V., Jary,A., Marcelin,A.-G.	1	2023	2025-06-23	dsDNA
PV051125	GenBank	Human papillomavirus 16	Alphapapillomavirus 9		#016	Human papillomavirus 16 isolate #016, complete genome	7906	complete	France	France	Homo sapiens		Malet,I., Draa,I., Leducq,V., Vuong,F., Bonnafous,P., Marcelin,A.G., Calvez,V., Jary,A., Marcelin,A.-G.	1	2020	2025-06-23	dsDNA
PV051126	GenBank	Human papillomavirus 16	Alphapapillomavirus 9		#019	Human papillomavirus 16 isolate #019, complete genome	7896	complete	France	France	Homo sapiens		Malet,I., Draa,I., Leducq,V., Vuong,F., Bonnafous,P., Marcelin,A.G., Calvez,V., Jary,A., Marcelin,A.-G.	1	2023	2025-06-23	dsDNA
PV051127	GenBank	Human papillomavirus 16	Alphapapillomavirus 9		#020	Human papillomavirus 16 isolate #020, complete genome	7906	complete	France	France	Homo sapiens	cervix	Malet,I., Draa,I., Leducq,V., Vuong,F., Bonnafous,P., Marcelin,A.G., Calvez,V., Jary,A., Marcelin,A.-G.	1	2020	2025-06-23	dsDNA
PV051128	GenBank	Human papillomavirus 16	Alphapapillomavirus 9		#025	Human papillomavirus 16 isolate #025, complete genome	7906	complete	France	France	Homo sapiens		Malet,I., Draa,I., Leducq,V., Vuong,F., Bonnafous,P., Marcelin,A.G., Calvez,V., Jary,A., Marcelin,A.-G.	1	2023	2025-06-23	dsDNA
PV051129	GenBank	Human papillomavirus 16	Alphapapillomavirus 9		#026	Human papillomavirus 16 isolate #026, complete genome	7906	complete	France	France	Homo sapiens		Malet,I., Draa,I., Leducq,V., Vuong,F., Bonnafous,P., Marcelin,A.G., Calvez,V., Jary,A., Marcelin,A.-G.	1	2023	2025-06-23	dsDNA
PV051130	GenBank	Human papillomavirus 16	Alphapapillomavirus 9		#027	Human papillomavirus 16 isolate #027, complete genome	7906	complete	France	France	Homo sapiens		Malet,I., Draa,I., Leducq,V., Vuong,F., Bonnafous,P., Marcelin,A.G., Calvez,V., Jary,A., Marcelin,A.-G.	1	2023	2025-06-23	dsDNA
PV051131	GenBank	Human papillomavirus 16	Alphapapillomavirus 9		#028	Human papillomavirus 16 isolate #028, complete genome	7897	complete	France	France	Homo sapiens		Malet,I., Draa,I., Leducq,V., Vuong,F., Bonnafous,P., Marcelin,A.G., Calvez,V., Jary,A., Marcelin,A.-G.	1	2024	2025-06-23	dsDNA
PV051132	GenBank	Human papillomavirus 16	Alphapapillomavirus 9		#030	Human papillomavirus 16 isolate #030, complete genome	7906	complete	France	France	Homo sapiens		Malet,I., Draa,I., Leducq,V., Vuong,F., Bonnafous,P., Marcelin,A.G., Calvez,V., Jary,A., Marcelin,A.-G.	1	2024	2025-06-23	dsDNA
PV051133	GenBank	Human papillomavirus 16	Alphapapillomavirus 9		#031	Human papillomavirus 16 isolate #031, complete genome	7906	complete	France	France	Homo sapiens		Malet,I., Draa,I., Leducq,V., Vuong,F., Bonnafous,P., Marcelin,A.G., Calvez,V., Jary,A., Marcelin,A.-G.	1	2024	2025-06-23	dsDNA
PV051134	GenBank	Human papillomavirus 16	Alphapapillomavirus 9		#032	Human papillomavirus 16 isolate #032, complete genome	7906	complete	France	France	Homo sapiens		Malet,I., Draa,I., Leducq,V., Vuong,F., Bonnafous,P., Marcelin,A.G., Calvez,V., Jary,A., Marcelin,A.-G.	1	2024	2025-06-23	dsDNA
PV051135	GenBank	Human papillomavirus 16	Alphapapillomavirus 9		#034	Human papillomavirus 16 isolate #034, complete genome	7906	complete	France	France	Homo sapiens		Malet,I., Draa,I., Leducq,V., Vuong,F., Bonnafous,P., Marcelin,A.G., Calvez,V., Jary,A., Marcelin,A.-G.	1	2023	2025-06-23	dsDNA
PV051136	GenBank	Human papillomavirus 16	Alphapapillomavirus 9		#035	Human papillomavirus 16 isolate #035, complete genome	7906	complete	France	France	Homo sapiens		Malet,I., Draa,I., Leducq,V., Vuong,F., Bonnafous,P., Marcelin,A.G., Calvez,V., Jary,A., Marcelin,A.-G.	1	2023	2025-06-23	dsDNA
PV051137	GenBank	Human papillomavirus 16	Alphapapillomavirus 9		#036	Human papillomavirus 16 isolate #036, complete genome	7906	complete	France	France	Homo sapiens		Malet,I., Draa,I., Leducq,V., Vuong,F., Bonnafous,P., Marcelin,A.G., Calvez,V., Jary,A., Marcelin,A.-G.	1	2024	2025-06-23	dsDNA
PV051138	GenBank	Human papillomavirus 16	Alphapapillomavirus 9		#037	Human papillomavirus 16 isolate #037, complete genome	7906	complete	France	France	Homo sapiens		Malet,I., Draa,I., Leducq,V., Vuong,F., Bonnafous,P., Marcelin,A.G., Calvez,V., Jary,A., Marcelin,A.-G.	1	2024	2025-06-23	dsDNA
PV051139	GenBank	Human papillomavirus 16	Alphapapillomavirus 9		#038	Human papillomavirus 16 isolate #038, complete genome	7906	complete	France	France	Homo sapiens		Malet,I., Draa,I., Leducq,V., Vuong,F., Bonnafous,P., Marcelin,A.G., Calvez,V., Jary,A., Marcelin,A.-G.	1	2024	2025-06-23	dsDNA
PV051140	GenBank	Human papillomavirus 16	Alphapapillomavirus 9		#040	Human papillomavirus 16 isolate #040, complete genome	7906	complete	France	France	Homo sapiens		Malet,I., Draa,I., Leducq,V., Vuong,F., Bonnafous,P., Marcelin,A.G., Calvez,V., Jary,A., Marcelin,A.-G.	1	2023	2025-06-23	dsDNA
PV051141	GenBank	Human papillomavirus 16	Alphapapillomavirus 9		#042	Human papillomavirus 16 isolate #042, complete genome	7885	complete	France	France	Homo sapiens		Malet,I., Draa,I., Leducq,V., Vuong,F., Bonnafous,P., Marcelin,A.G., Calvez,V., Jary,A., Marcelin,A.-G.	1	2023	2025-06-23	dsDNA
PV051142	GenBank	Human papillomavirus 16	Alphapapillomavirus 9		#045	Human papillomavirus 16 isolate #045, complete genome	7906	complete	France	France	Homo sapiens	cervix	Malet,I., Draa,I., Leducq,V., Vuong,F., Bonnafous,P., Marcelin,A.G., Calvez,V., Jary,A., Marcelin,A.-G.	1	2023	2025-06-23	dsDNA
PV051143	GenBank	Human papillomavirus 16	Alphapapillomavirus 9		#047	Human papillomavirus 16 isolate #047, complete genome	7906	complete	France	France	Homo sapiens	cervix	Malet,I., Draa,I., Leducq,V., Vuong,F., Bonnafous,P., Marcelin,A.G., Calvez,V., Jary,A., Marcelin,A.-G.	1	2024	2025-06-23	dsDNA
PV051144	GenBank	Human papillomavirus 16	Alphapapillomavirus 9		#048	Human papillomavirus 16 isolate #048, complete genome	7906	complete	France	France	Homo sapiens	cervix	Malet,I., Draa,I., Leducq,V., Vuong,F., Bonnafous,P., Marcelin,A.G., Calvez,V., Jary,A., Marcelin,A.-G.	1	2023	2025-06-23	dsDNA
PV051145	GenBank	Human papillomavirus 16	Alphapapillomavirus 9		#049	Human papillomavirus 16 isolate #049, complete genome	7906	complete	France	France	Homo sapiens	cervix	Malet,I., Draa,I., Leducq,V., Vuong,F., Bonnafous,P., Marcelin,A.G., Calvez,V., Jary,A., Marcelin,A.-G.	1	2023	2025-06-23	dsDNA
PV051146	GenBank	Human papillomavirus 16	Alphapapillomavirus 9		#054	Human papillomavirus 16 isolate #054, complete genome	7906	complete	France	France	Homo sapiens		Malet,I., Draa,I., Leducq,V., Vuong,F., Bonnafous,P., Marcelin,A.G., Calvez,V., Jary,A., Marcelin,A.-G.	1	2024	2025-06-23	dsDNA
PV051147	GenBank	Human papillomavirus 16	Alphapapillomavirus 9		#055	Human papillomavirus 16 isolate #055, complete genome	7906	complete	France	France	Homo sapiens		Malet,I., Draa,I., Leducq,V., Vuong,F., Bonnafous,P., Marcelin,A.G., Calvez,V., Jary,A., Marcelin,A.-G.	1	2024	2025-06-23	dsDNA
PV051148	GenBank	Human papillomavirus 16	Alphapapillomavirus 9		#056	Human papillomavirus 16 isolate #056, complete genome	7906	complete	France	France	Homo sapiens		Malet,I., Draa,I., Leducq,V., Vuong,F., Bonnafous,P., Marcelin,A.G., Calvez,V., Jary,A., Marcelin,A.-G.	1	2024	2025-06-23	dsDNA
PV051149	GenBank	Human papillomavirus 16	Alphapapillomavirus 9		#064	Human papillomavirus 16 isolate #064, complete genome	7906	complete	France	France	Homo sapiens		Malet,I., Draa,I., Leducq,V., Vuong,F., Bonnafous,P., Marcelin,A.G., Calvez,V., Jary,A., Marcelin,A.-G.	1	2017	2025-06-23	dsDNA
PV051150	GenBank	Human papillomavirus 16	Alphapapillomavirus 9		#065	Human papillomavirus 16 isolate #065, complete genome	7906	complete	France	France	Homo sapiens		Malet,I., Draa,I., Leducq,V., Vuong,F., Bonnafous,P., Marcelin,A.G., Calvez,V., Jary,A., Marcelin,A.-G.	1	2018	2025-06-23	dsDNA
PV051151	GenBank	Human papillomavirus 16	Alphapapillomavirus 9		#066	Human papillomavirus 16 isolate #066, complete genome	7906	complete	Cambodia	Cambodia	Homo sapiens		Malet,I., Draa,I., Leducq,V., Vuong,F., Bonnafous,P., Marcelin,A.G., Calvez,V., Jary,A., Marcelin,A.-G.	1	2021	2025-06-23	dsDNA
PV051152	GenBank	Human papillomavirus 16	Alphapapillomavirus 9		#067	Human papillomavirus 16 isolate #067, complete genome	7906	complete	Cambodia	Cambodia	Homo sapiens		Malet,I., Draa,I., Leducq,V., Vuong,F., Bonnafous,P., Marcelin,A.G., Calvez,V., Jary,A., Marcelin,A.-G.	1	2021	2025-06-23	dsDNA
PV051153	GenBank	Human papillomavirus 16	Alphapapillomavirus 9		#069	Human papillomavirus 16 isolate #069, complete genome	7906	complete	Cambodia	Cambodia	Homo sapiens		Malet,I., Draa,I., Leducq,V., Vuong,F., Bonnafous,P., Marcelin,A.G., Calvez,V., Jary,A., Marcelin,A.-G.	1	2021	2025-06-23	dsDNA
PV051154	GenBank	Human papillomavirus 16	Alphapapillomavirus 9		#070	Human papillomavirus 16 isolate #070, complete genome	7906	complete	Cambodia	Cambodia	Homo sapiens		Malet,I., Draa,I., Leducq,V., Vuong,F., Bonnafous,P., Marcelin,A.G., Calvez,V., Jary,A., Marcelin,A.-G.	1	2021	2025-06-23	dsDNA
PV051155	GenBank	Human papillomavirus 16	Alphapapillomavirus 9		#074	Human papillomavirus 16 isolate #074, complete genome	7906	complete	Cambodia	Cambodia	Homo sapiens		Malet,I., Draa,I., Leducq,V., Vuong,F., Bonnafous,P., Marcelin,A.G., Calvez,V., Jary,A., Marcelin,A.-G.	1	2021	2025-06-23	dsDNA
