Accession	GenBank_RefSeq	Organism_Name	Species	Genotype	Isolate	GenBank_Title	Length	Nuc_Completeness	Geo_Location	Country	Host	Tissue_Specimen_Source	Submitters	Publications	Collection_Date	Release_Date	Molecule_type
PV943751	GenBank	human papillomavirus 18	Alphapapillomavirus 7		InDRE-246Chis/Mexico/2023	Human papillomavirus 18 isolate InDRE-246Chis/Mexico/2023, complete genome	7844	complete	Mexico	Mexico	Homo sapiens	cervix	Rangel-Medrano,D., Fragoso-Fonseca,D.E., Reja-Macouzet,I., Esteban-Valencia,Md.C., Andrade-Montiel,E., Wong-Arambula,C.E., Hernandez-Rivas,L., Castro-Escarpulli,G., Escobar-Escamilla,N., Landa-Flores,M.G., Del Mazo-Lopez,J.C., Serrano-Gutierrez,S., Rodriguez-Maldonado,A.P.		2023	2025-07-23	dsDNA
PP922121	GenBank	human papillomavirus 18	Alphapapillomavirus 7		InDRE-23Chis/Mexico/2023	Human papillomavirus 18 isolate InDRE-23Chis/Mexico/2023, complete genome	7837	complete	Mexico	Mexico	Homo sapiens	cervix	Fragoso-Fonseca,D.E., Reja-Macouzet,I., Esteban-Valencia,Md.C., Corona-Valdespino,E., Andrade-Montiel,E., Rangel-Medrano,D., Wong-Arambula,C.E., Molina-Gomez,I.E., Hernandez-Rivas,L., Escobar-Escamilla,N., Landa-Flores,M.G., Del Mazo-Lopez,J.C., Serrano-Gutierrez,S., Rodriguez-Maldonado,A.P.		2022-09	2024-06-30	dsDNA
PP781981	GenBank	human papillomavirus 18	Alphapapillomavirus 7		InDRE-243Chis/Mexico/2023	Human papillomavirus 18 isolate InDRE-243Chis/Mexico/2023, complete genome	7836	complete	Mexico	Mexico	Homo sapiens	cervix	Fragoso-Fonseca,D.E., Reja-Macouzet,I., Esteban-Valencia,Md.C., Corona-Valdespino,E., Andrade-Montiel,E., Rangel-Medrano,D., Wong-Arambula,C.E., Molina-Gomez,I.E., Hernandez-Rivas,L., Escobar-Escamilla,N., Landa-Flores,M.G., Del Mazo-Lopez,J.C., Serrano-Gutierrez,S., Rodriguez-Maldonado,A.P.		2023	2024-05-22	dsDNA
PP781982	GenBank	human papillomavirus 18	Alphapapillomavirus 7		InDRE-49Yuc/Mexico/2023	Human papillomavirus 18 isolate InDRE-49Yuc/Mexico/2023, complete genome	7857	complete	Mexico	Mexico	Homo sapiens	cervix	Fragoso-Fonseca,D.E., Reja-Macouzet,I., Esteban-Valencia,Md.C., Corona-Valdespino,E., Andrade-Montiel,E., Rangel-Medrano,D., Wong-Arambula,C.E., Molina-Gomez,I.E., Hernandez-Rivas,L., Escobar-Escamilla,N., Landa-Flores,M.G., Del Mazo-Lopez,J.C., Serrano-Gutierrez,S., Rodriguez-Maldonado,A.P.		2023	2024-05-22	dsDNA
PP781983	GenBank	human papillomavirus 18	Alphapapillomavirus 7		InDRE-27NL/Mexico/2023	Human papillomavirus 18 isolate InDRE-27NL/Mexico/2023, complete genome	7857	complete	Mexico	Mexico	Homo sapiens	cervix	Fragoso-Fonseca,D.E., Reja-Macouzet,I., Esteban-Valencia,Md.C., Corona-Valdespino,E., Andrade-Montiel,E., Rangel-Medrano,D., Wong-Arambula,C.E., Molina-Gomez,I.E., Hernandez-Rivas,L., Escobar-Escamilla,N., Landa-Flores,M.G., Del Mazo-Lopez,J.C., Serrano-Gutierrez,S., Rodriguez-Maldonado,A.P.		2023	2024-05-22	dsDNA
PP781984	GenBank	human papillomavirus 18	Alphapapillomavirus 7		InDRE-121Mex/Mexico/2023	Human papillomavirus 18 isolate InDRE-121Mex/Mexico/2023, complete genome	7857	complete	Mexico	Mexico	Homo sapiens	cervix	Fragoso-Fonseca,D.E., Reja-Macouzet,I., Esteban-Valencia,Md.C., Corona-Valdespino,E., Andrade-Montiel,E., Rangel-Medrano,D., Wong-Arambula,C.E., Molina-Gomez,I.E., Hernandez-Rivas,L., Escobar-Escamilla,N., Landa-Flores,M.G., Del Mazo-Lopez,J.C., Serrano-Gutierrez,S., Rodriguez-Maldonado,A.P.		2023	2024-05-22	dsDNA
PP781985	GenBank	human papillomavirus 18	Alphapapillomavirus 7		InDRE-53Oax/Mexico/2023	Human papillomavirus 18 isolate InDRE-53Oax/Mexico/2023, complete genome	7857	complete	Mexico	Mexico	Homo sapiens	cervix	Fragoso-Fonseca,D.E., Reja-Macouzet,I., Esteban-Valencia,Md.C., Corona-Valdespino,E., Andrade-Montiel,E., Rangel-Medrano,D., Wong-Arambula,C.E., Molina-Gomez,I.E., Hernandez-Rivas,L., Escobar-Escamilla,N., Landa-Flores,M.G., Del Mazo-Lopez,J.C., Serrano-Gutierrez,S., Rodriguez-Maldonado,A.P.		2023	2024-05-22	dsDNA
PP781986	GenBank	human papillomavirus 18	Alphapapillomavirus 7		InDRE-41Tams/Mexico/2023	Human papillomavirus 18 isolate InDRE-41Tams/Mexico/2023, complete genome	7857	complete	Mexico	Mexico	Homo sapiens	cervix	Fragoso-Fonseca,D.E., Reja-Macouzet,I., Esteban-Valencia,Md.C., Corona-Valdespino,E., Andrade-Montiel,E., Rangel-Medrano,D., Wong-Arambula,C.E., Molina-Gomez,I.E., Hernandez-Rivas,L., Escobar-Escamilla,N., Landa-Flores,M.G., Del Mazo-Lopez,J.C., Serrano-Gutierrez,S., Rodriguez-Maldonado,A.P.		2023	2024-05-22	dsDNA
PP781987	GenBank	human papillomavirus 18	Alphapapillomavirus 7		InDRE-27Ags/Mexico/2023	Human papillomavirus 18 isolate InDRE-27Ags/Mexico/2023, complete genome	7836	complete	Mexico	Mexico	Homo sapiens	cervix	Fragoso-Fonseca,D.E., Reja-Macouzet,I., Esteban-Valencia,Md.C., Corona-Valdespino,E., Andrade-Montiel,E., Rangel-Medrano,D., Wong-Arambula,C.E., Molina-Gomez,I.E., Hernandez-Rivas,L., Escobar-Escamilla,N., Landa-Flores,M.G., Del Mazo-Lopez,J.C., Serrano-Gutierrez,S., Rodriguez-Maldonado,A.P.		2023	2024-05-22	dsDNA
PP266440	GenBank	human papillomavirus 18	Alphapapillomavirus 7		InDRE-390Jal/Mexico/2023	Human papillomavirus 18 isolate InDRE-390Jal/Mexico/2023, complete genome	7857	complete	Mexico	Mexico	Homo sapiens	cervix	Fragoso-Fonseca,D.E., Reja-Macouzet,I., Jimenez-Morales,M., Esteban-Valencia,Md.C., Corona-Valdespino,E., Andrade-Montiel,E., Rangel-Medrano,D., Munoz-Garcia,K.A., Wong-Arambula,C.E., Molina-Gomez,I.E., Hernandez-Rivas,L., Escobar-Escamilla,N., Landa-Flores,M.G., Del Mazo-Lopez,J.C., Serrano-Gutierrez,S., Rodriguez-Maldonado,A.P.			2024-02-26	dsDNA
PP266441	GenBank	human papillomavirus 18	Alphapapillomavirus 7		InDRE-382Jal/Mexico/2023	Human papillomavirus 18 isolate InDRE-382Jal/Mexico/2023, complete genome	7857	complete	Mexico	Mexico	Homo sapiens	cervix	Fragoso-Fonseca,D.E., Reja-Macouzet,I., Jimenez-Morales,M., Esteban-Valencia,Md.C., Corona-Valdespino,E., Andrade-Montiel,E., Rangel-Medrano,D., Munoz-Garcia,K.A., Wong-Arambula,C.E., Molina-Gomez,I.E., Hernandez-Rivas,L., Escobar-Escamilla,N., Landa-Flores,M.G., Del Mazo-Lopez,J.C., Serrano-Gutierrez,S., Rodriguez-Maldonado,A.P.			2024-02-26	dsDNA
PP266442	GenBank	human papillomavirus 18	Alphapapillomavirus 7		InDRE-370Jal/Mexico/2023	Human papillomavirus 18 isolate InDRE-370Jal/Mexico/2023, complete genome	7836	complete	Mexico	Mexico	Homo sapiens	cervix	Fragoso-Fonseca,D.E., Reja-Macouzet,I., Jimenez-Morales,M., Esteban-Valencia,Md.C., Corona-Valdespino,E., Andrade-Montiel,E., Rangel-Medrano,D., Munoz-Garcia,K.A., Wong-Arambula,C.E., Molina-Gomez,I.E., Hernandez-Rivas,L., Escobar-Escamilla,N., Landa-Flores,M.G., Del Mazo-Lopez,J.C., Serrano-Gutierrez,S., Rodriguez-Maldonado,A.P.			2024-02-26	dsDNA
PP266443	GenBank	human papillomavirus 18	Alphapapillomavirus 7		InDRE-343Jal/Mexico/2023	Human papillomavirus 18 isolate InDRE-343Jal/Mexico/2023, complete genome	7836	complete	Mexico	Mexico	Homo sapiens	cervix	Fragoso-Fonseca,D.E., Reja-Macouzet,I., Jimenez-Morales,M., Esteban-Valencia,Md.C., Corona-Valdespino,E., Andrade-Montiel,E., Rangel-Medrano,D., Munoz-Garcia,K.A., Wong-Arambula,C.E., Molina-Gomez,I.E., Hernandez-Rivas,L., Escobar-Escamilla,N., Landa-Flores,M.G., Del Mazo-Lopez,J.C., Serrano-Gutierrez,S., Rodriguez-Maldonado,A.P.			2024-02-26	dsDNA
PP266444	GenBank	human papillomavirus 18	Alphapapillomavirus 7		InDRE-359Jal/Mexico/2023	Human papillomavirus 18 isolate InDRE-359Jal/Mexico/2023, complete genome	7857	complete	Mexico	Mexico	Homo sapiens	cervix	Fragoso-Fonseca,D.E., Reja-Macouzet,I., Jimenez-Morales,M., Esteban-Valencia,Md.C., Corona-Valdespino,E., Andrade-Montiel,E., Rangel-Medrano,D., Munoz-Garcia,K.A., Wong-Arambula,C.E., Molina-Gomez,I.E., Hernandez-Rivas,L., Escobar-Escamilla,N., Landa-Flores,M.G., Del Mazo-Lopez,J.C., Serrano-Gutierrez,S., Rodriguez-Maldonado,A.P.			2024-02-26	dsDNA
PP266445	GenBank	human papillomavirus 18	Alphapapillomavirus 7		InDRE-100Mex/Mexico/2023	Human papillomavirus 18 isolate InDRE-100Mex/Mexico/2023, complete genome	7857	complete	Mexico	Mexico	Homo sapiens	cervix	Fragoso-Fonseca,D.E., Reja-Macouzet,I., Jimenez-Morales,M., Esteban-Valencia,Md.C., Corona-Valdespino,E., Andrade-Montiel,E., Rangel-Medrano,D., Munoz-Garcia,K.A., Wong-Arambula,C.E., Molina-Gomez,I.E., Hernandez-Rivas,L., Escobar-Escamilla,N., Landa-Flores,M.G., Del Mazo-Lopez,J.C., Serrano-Gutierrez,S., Rodriguez-Maldonado,A.P.			2024-02-26	dsDNA
PP266446	GenBank	human papillomavirus 18	Alphapapillomavirus 7		InDRE-111Mex/Mexico/2023	Human papillomavirus 18 isolate InDRE-111Mex/Mexico/2023, complete genome	7836	complete	Mexico	Mexico	Homo sapiens	cervix	Fragoso-Fonseca,D.E., Reja-Macouzet,I., Jimenez-Morales,M., Esteban-Valencia,Md.C., Corona-Valdespino,E., Andrade-Montiel,E., Rangel-Medrano,D., Munoz-Garcia,K.A., Wong-Arambula,C.E., Molina-Gomez,I.E., Hernandez-Rivas,L., Escobar-Escamilla,N., Landa-Flores,M.G., Del Mazo-Lopez,J.C., Serrano-Gutierrez,S., Rodriguez-Maldonado,A.P.			2024-02-26	dsDNA
PP266447	GenBank	human papillomavirus 18	Alphapapillomavirus 7		InDRE-3VerB/Mexico/2023	Human papillomavirus 18 isolate InDRE-3VerB/Mexico/2023, complete genome	7857	complete	Mexico	Mexico	Homo sapiens	cervix	Fragoso-Fonseca,D.E., Reja-Macouzet,I., Jimenez-Morales,M., Esteban-Valencia,Md.C., Corona-Valdespino,E., Andrade-Montiel,E., Rangel-Medrano,D., Munoz-Garcia,K.A., Wong-Arambula,C.E., Molina-Gomez,I.E., Hernandez-Rivas,L., Escobar-Escamilla,N., Landa-Flores,M.G., Del Mazo-Lopez,J.C., Serrano-Gutierrez,S., Rodriguez-Maldonado,A.P.			2024-02-26	dsDNA
PP266448	GenBank	human papillomavirus 18	Alphapapillomavirus 7		InDRE-25MorB/Mexico/2023	Human papillomavirus 18 isolate InDRE-25MorB/Mexico/2023, complete genome	7857	complete	Mexico	Mexico	Homo sapiens	cervix	Fragoso-Fonseca,D.E., Reja-Macouzet,I., Jimenez-Morales,M., Esteban-Valencia,Md.C., Corona-Valdespino,E., Andrade-Montiel,E., Rangel-Medrano,D., Munoz-Garcia,K.A., Wong-Arambula,C.E., Molina-Gomez,I.E., Hernandez-Rivas,L., Escobar-Escamilla,N., Landa-Flores,M.G., Del Mazo-Lopez,J.C., Serrano-Gutierrez,S., Rodriguez-Maldonado,A.P.			2024-02-26	dsDNA
OP711995	GenBank	human papillomavirus 18	Alphapapillomavirus 7		V521R485_HPV18	Human papillomavirus 18 isolate V521R485_HPV18, complete genome	7857	complete	Togo	Togo	Homo sapiens		Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.		2017-08	2023-11-24	dsDNA
OP712011	GenBank	human papillomavirus 18	Alphapapillomavirus 7		V521R490_HPV18	Human papillomavirus 18 isolate V521R490_HPV18, complete genome	7831	complete	Togo	Togo	Homo sapiens		Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.		2017-08	2023-11-24	dsDNA
OP712029	GenBank	human papillomavirus 18	Alphapapillomavirus 7		V521R502_HPV18	Human papillomavirus 18 isolate V521R502_HPV18, complete genome	7823	complete	Togo	Togo	Homo sapiens		Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.		2017-08	2023-11-24	dsDNA
OP712070	GenBank	human papillomavirus 18	Alphapapillomavirus 7		V523E10_HPV18	Human papillomavirus 18 isolate V523E10_HPV18, complete genome	7844	complete	Togo	Togo	Homo sapiens		Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.		2017-08	2023-11-24	dsDNA
OP712112	GenBank	human papillomavirus 18	Alphapapillomavirus 7		V523E22_HPV18	Human papillomavirus 18 isolate V523E22_HPV18, complete genome	7844	complete	Togo	Togo	Homo sapiens		Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.		2017-08	2023-11-24	dsDNA
OP971042	GenBank	human papillomavirus 18	Alphapapillomavirus 7		UC008_LW_V3	Human papillomavirus 18 isolate UC008_LW_V3, complete genome	7824	complete	South Africa	South Africa	Homo sapiens	vagina	Happel,A.-U., Balle,C., Havyarimana,E., Brown,B., Maust,B., Konstantinus,I.N., Feng,C., Yi,B.H., Gill,K., Bekker,L.-G., Passmore,J.-A.S., Jaspan,H.B., Varsani,A.		2016-07-12	2023-01-14	dsDNA
OP971048	GenBank	human papillomavirus 18	Alphapapillomavirus 7		UC094_LW_V2	Human papillomavirus 18 isolate UC094_LW_V2, complete genome	7824	complete	South Africa	South Africa	Homo sapiens	vagina	Happel,A.-U., Balle,C., Havyarimana,E., Brown,B., Maust,B., Konstantinus,I.N., Feng,C., Yi,B.H., Gill,K., Bekker,L.-G., Passmore,J.-A.S., Jaspan,H.B., Varsani,A.		2017-02-02	2023-01-14	dsDNA
OP971083	GenBank	human papillomavirus 18	Alphapapillomavirus 7		UC094_LW_V3	Human papillomavirus 18 isolate UC094_LW_V3, complete genome	7824	complete	South Africa	South Africa	Homo sapiens	vagina	Happel,A.-U., Balle,C., Havyarimana,E., Brown,B., Maust,B., Konstantinus,I.N., Feng,C., Yi,B.H., Gill,K., Bekker,L.-G., Passmore,J.-A.S., Jaspan,H.B., Varsani,A.		2017-05-23	2023-01-14	dsDNA
ON322746	GenBank	human papillomavirus 18	Alphapapillomavirus 7		InDRE 341	Human papillomavirus 18 isolate InDRE 341, complete genome	7857	complete	Mexico: Laboratorio Estatal de Salud Publica (LESP) Jalisco	Mexico	Homo sapiens	cervix	Fragoso-Fonseca,D.E., Jimenez-Morales,M., Ruiz-Hernandez,U.E., Centeno-Cayetano,G.B., Andrade-Montiel,E., Corona-Valdespino,E., Gonzalez-Martinez,B.E., Esteban-Valencia,Md.C., Araiza-Rodriguez,A., Hernandez-Rivas,L., Ramirez-Gonzalez,J.E., Escobar-Escamilla,N., Salvador-Patino,A., Garces-Ayala,F.			2022-12-17	dsDNA
ON322747	GenBank	human papillomavirus 18	Alphapapillomavirus 7		InDRE 395	Human papillomavirus 18 isolate InDRE 395, complete genome	7857	complete	Mexico: Laboratorio Estatal de Salud Publica (LESP) Jalisco	Mexico	Homo sapiens	cervix	Fragoso-Fonseca,D.E., Jimenez-Morales,M., Ruiz-Hernandez,U.E., Centeno-Cayetano,G.B., Andrade-Montiel,E., Corona-Valdespino,E., Gonzalez-Martinez,B.E., Esteban-Valencia,Md.C., Araiza-Rodriguez,A., Hernandez-Rivas,L., Ramirez-Gonzalez,J.E., Escobar-Escamilla,N., Salvador-Patino,A., Garces-Ayala,F.			2022-12-17	dsDNA
ON322748	GenBank	human papillomavirus 18	Alphapapillomavirus 7		InDRE 406	Human papillomavirus 18 isolate InDRE 406, complete genome	7856	complete	Mexico: Laboratorio Estatal de Salud Publica (LESP) Jalisco	Mexico	Homo sapiens	cervix	Fragoso-Fonseca,D.E., Jimenez-Morales,M., Ruiz-Hernandez,U.E., Centeno-Cayetano,G.B., Andrade-Montiel,E., Corona-Valdespino,E., Gonzalez-Martinez,B.E., Esteban-Valencia,Md.C., Araiza-Rodriguez,A., Hernandez-Rivas,L., Ramirez-Gonzalez,J.E., Escobar-Escamilla,N., Salvador-Patino,A., Garces-Ayala,F.			2022-12-17	dsDNA
ON322749	GenBank	human papillomavirus 18	Alphapapillomavirus 7		InDRE 366	Human papillomavirus 18 isolate InDRE 366, complete genome	7824	complete	Mexico: Laboratorio Estatal de Salud Publica (LESP) Jalisco	Mexico	Homo sapiens	cervix	Fragoso-Fonseca,D.E., Jimenez-Morales,M., Ruiz-Hernandez,U.E., Centeno-Cayetano,G.B., Andrade-Montiel,E., Corona-Valdespino,E., Gonzalez-Martinez,B.E., Esteban-Valencia,Md.C., Araiza-Rodriguez,A., Hernandez-Rivas,L., Ramirez-Gonzalez,J.E., Escobar-Escamilla,N., Salvador-Patino,A., Garces-Ayala,F.			2022-12-17	dsDNA
ON322750	GenBank	human papillomavirus 18	Alphapapillomavirus 7		InDRE 392	Human papillomavirus 18 isolate InDRE 392, complete genome	7824	complete	Mexico: Laboratorio Estatal de Salud Publica (LESP) Jalisco	Mexico	Homo sapiens	cervix	Fragoso-Fonseca,D.E., Jimenez-Morales,M., Ruiz-Hernandez,U.E., Centeno-Cayetano,G.B., Andrade-Montiel,E., Corona-Valdespino,E., Gonzalez-Martinez,B.E., Esteban-Valencia,Md.C., Araiza-Rodriguez,A., Hernandez-Rivas,L., Ramirez-Gonzalez,J.E., Escobar-Escamilla,N., Salvador-Patino,A., Garces-Ayala,F.			2022-12-17	dsDNA
MW836821	GenBank	human papillomavirus 18	Alphapapillomavirus 7		VBD17/15	Human papillomavirus 18 isolate VBD17/15, complete genome	7857	complete	South Africa: Free State	South Africa	Homo sapiens		Munsamy,Y., Seedat,R.Y., Sekee,T.R., Bester,P.A., van Jaarsveldt,D., Burt,F.J.		2015-05-12	2021-06-30	dsDNA
LC636307	GenBank	human papillomavirus 18	Alphapapillomavirus 7		K1604	Human papillomavirus type 18 K1604 DNA, complete genome	7857	complete	Japan	Japan	Homo sapiens		Yamaguchi,M., Iwata,T., Matsumoto,K., Kukimoto,I.			2021-06-12	dsDNA
LC636308	GenBank	human papillomavirus 18	Alphapapillomavirus 7		K2085	Human papillomavirus type 18 K2085 DNA, complete genome	7857	complete	Japan	Japan	Homo sapiens		Yamaguchi,M., Iwata,T., Matsumoto,K., Kukimoto,I.			2021-06-12	dsDNA
LC636309	GenBank	human papillomavirus 18	Alphapapillomavirus 7		K2226	Human papillomavirus type 18 K2226 DNA, complete genome	7857	complete	Japan	Japan	Homo sapiens		Yamaguchi,M., Iwata,T., Matsumoto,K., Kukimoto,I.			2021-06-12	dsDNA
LC508989	GenBank	human papillomavirus 18	Alphapapillomavirus 7		SW024	Human papillomavirus type 18 SW024 DNA, complete genome	7857	complete	Japan	Japan	Homo sapiens		Kukimoto,I., Yamaguchi,M., Tenjimbayashi,Y., Hirose,Y., Onuki,M., Iwata,T., Matsumoto,K.			2020-05-02	dsDNA
LC508990	GenBank	human papillomavirus 18	Alphapapillomavirus 7		SW044	Human papillomavirus type 18 SW044 DNA, complete genome	7857	complete	Japan	Japan	Homo sapiens		Kukimoto,I., Yamaguchi,M., Tenjimbayashi,Y., Hirose,Y., Onuki,M., Iwata,T., Matsumoto,K.			2020-05-02	dsDNA
LC508991	GenBank	human papillomavirus 18	Alphapapillomavirus 7		SW052	Human papillomavirus type 18 SW052 DNA, complete genome	7857	complete	Japan	Japan	Homo sapiens		Kukimoto,I., Yamaguchi,M., Tenjimbayashi,Y., Hirose,Y., Onuki,M., Iwata,T., Matsumoto,K.			2020-05-02	dsDNA
LC508992	GenBank	human papillomavirus 18	Alphapapillomavirus 7		K0213	Human papillomavirus type 18 K0213 DNA, complete genome	7857	complete	Japan	Japan	Homo sapiens		Kukimoto,I., Yamaguchi,M., Tenjimbayashi,Y., Hirose,Y., Onuki,M., Iwata,T., Matsumoto,K.			2020-05-02	dsDNA
